state_1,price_1,load_1,month_1,year_1,coal_cost_1,CDD_1,HDD_1,date_1,state_2,price_2,load_2,month_2,year_2,coal_cost_2,CDD_2,HDD_2,date_2,ln_load_rel,ln_price_rel,ln_coal_rel,time_diff
pennsylvania,0.1379226168680581,5399.0,7,2011,49.310386915659706,348.0,0.0,7/2011,pennsylvania,0.13420675775051283,5149.0,2,2016,36.12067964546968,0.0,913.0,2/2016,0.047411230172145706,0.027311201460896765,0.3112692021099539,-55.0
pennsylvania,0.1379226168680581,5399.0,7,2011,49.310386915659706,348.0,0.0,7/2011,pennsylvania,0.13333719817965736,4333.0,3,2016,49.26712851580238,0.0,618.0,3/2016,0.2199536084783775,0.033811536179502145,0.0008776525244061275,-56.0
pennsylvania,0.1379226168680581,5399.0,7,2011,49.310386915659706,348.0,0.0,7/2011,pennsylvania,0.13053353729198536,4163.0,4,2018,35.49807629907755,0.0,593.0,4/2018,0.2599777830233116,0.055062596057242195,0.32865624054674475,-81.0
iowa,0.11737662231986654,1576.0,7,2011,41.803979006468936,403.0,0.0,7/2011,iowa,0.1138450611333773,1394.0,8,2011,43.65075338643397,235.0,8.0,8/2011,0.12271267909735528,0.0305493480166179,-0.043229015306180264,-1.0
iowa,0.11737662231986654,1576.0,7,2011,41.803979006468936,403.0,0.0,7/2011,iowa,0.09813572260838122,1214.0,2,2012,31.640483747840413,0.0,983.0,2/2012,0.2609692987983809,0.17903631399204448,0.2785540946373839,-7.0
iowa,0.11737662231986654,1576.0,7,2011,41.803979006468936,403.0,0.0,7/2011,iowa,0.11244280235899594,879.0,4,2012,36.26605789352478,5.0,392.0,4/2012,0.5838603727326475,0.042943090236569566,0.14210926695388953,-9.0
iowa,0.11737662231986654,1576.0,7,2011,41.803979006468936,403.0,0.0,7/2011,iowa,0.09955610040633125,1267.0,2,2013,72.29928125834165,0.0,142.0,2/2013,0.21823809009668535,0.16466645065922494,-0.5478226614709284,-19.0
iowa,0.11737662231986654,1576.0,7,2011,41.803979006468936,403.0,0.0,7/2011,iowa,0.11696303115461021,991.0,9,2014,28.26687339502883,46.0,36.0,9/2014,0.4639307360878364,0.0035298472841741734,0.3913009589362197,-38.0
iowa,0.11737662231986654,1576.0,7,2011,41.803979006468936,403.0,0.0,7/2011,iowa,0.10027639043786064,1035.0,11,2014,51.98079813800126,0.0,68.0,11/2014,0.42048856471835494,0.15745748130800255,-0.21788285726623513,-40.0
iowa,0.11737662231986654,1576.0,7,2011,41.803979006468936,403.0,0.0,7/2011,iowa,0.09677137277382122,1425.0,12,2014,43.04188568152892,0.0,132.0,12/2014,0.10071817771507359,0.19303654437797055,-0.029182200654376936,-41.0
iowa,0.11737662231986654,1576.0,7,2011,41.803979006468936,403.0,0.0,7/2011,iowa,0.10217904555482449,1188.0,2,2016,48.1189766613771,0.0,20.0,2/2016,0.28261877049523415,0.1386611360772253,-0.14068509794907078,-55.0
iowa,0.11737662231986654,1576.0,7,2011,41.803979006468936,403.0,0.0,7/2011,iowa,0.10972871842843779,1011.0,11,2017,99.45743685687557,0.0,861.0,11/2017,0.443950051397353,0.06737663549789091,-0.8667382558194793,-76.0
